"code","long_description","medium_description","short_description"
"61616","Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; intradural, including dural repair, with or without graft","RESCJ/EXC LES BASE PCF FORAMEN VRT BODIES IDRL","RESECT/EXCISE LESION SKULL"
"61618","Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by free tissue graft (eg, pericranium, fascia, tensor fascia lata, adipose tissue, homologous or synthetic grafts)","SECONDARY RPR DURA CSF LEAK FREE TISSUE GRAFT","REPAIR DURA"
"61619","Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by local or regionalized vascularized pedicle flap or myocutaneous flap (including galea, temporalis, frontalis or occipitalis muscle)","SEC RPR DURA CSF LEAK LOCAL/REGIONALIZED FLAP","REPAIR DURA"
"61623","Endovascular temporary balloon arterial occlusion, head or neck (extracranial/intracranial) including selective catheterization of vessel to be occluded, positioning and inflation of occlusion balloon, concomitant neurological monitoring, and radiologic supervision and interpretation of all angiography required for balloon occlusion and to exclude vascular injury post occlusion","EVASC TEMP BALLOON ARTL OCCLUSION HEAD/NECK","ENDOVASC TEMPORY VESSEL OCCL"
"61624","Transcatheter permanent occlusion or embolization (eg, for tumor destruction, to achieve hemostasis, to occlude a vascular malformation), percutaneous, any method; central nervous system (intracranial, spinal cord)","TCAT PERMANENT OCCLUSION/EMBOLIZATION PRQ CNS","TRANSCATH OCCLUSION CNS"
"61626","Transcatheter permanent occlusion or embolization (eg, for tumor destruction, to achieve hemostasis, to occlude a vascular malformation), percutaneous, any method; non-central nervous system, head or neck (extracranial, brachiocephalic branch)","TCAT PERMANT OCCLUSION/EMBOLIZATION PRQ NON-CNS","TRANSCATH OCCLUSION NON-CNS"
"61630","Balloon angioplasty, intracranial (eg, atherosclerotic stenosis), percutaneous","BALLOON ANGIOPLASTY INTRACRANIAL PERCUTANEOUS","INTRACRANIAL ANGIOPLASTY"
"61635","Transcatheter placement of intravascular stent(s), intracranial (eg, atherosclerotic stenosis), including balloon angioplasty, if performed","TCAT PLMT IV STENT ICRA W/BALO ANGIOP IF PFRMD","INTRACRAN ANGIOPLSTY W/STENT"
"61640","Balloon dilatation of intracranial vasospasm, percutaneous; initial vessel","BALLOON DILAT INTRACRANIAL VASOSPASM PRQ INITIAL","DILATE IC VASOSPASM INIT"
"61641","Balloon dilatation of intracranial vasospasm, percutaneous; each additional vessel in same vascular family (List separately in addition to code for primary procedure)","BALLOON DILAT INCRNL VASOSPSM PRQ EA VESSEL","DILATE IC VASOSPASM ADD-ON"
"61642","Balloon dilatation of intracranial vasospasm, percutaneous; each additional vessel in different vascular family (List separately in addition to code for primary procedure)","BALLOON DILAT INCRNL VASOSPSM PRQ EA VESSEL","DILATE IC VASOSPASM ADD-ON"
"61680","Surgery of intracranial arteriovenous malformation; supratentorial, simple","INTRACRANIAL ARVEN MALFRMJ SUPRATENTRL SMPL","INTRACRANIAL VESSEL SURGERY"
"61682","Surgery of intracranial arteriovenous malformation; supratentorial, complex","INTRACRANIAL ARVEN MALFRMJ SUPRATENTRL CMPL","INTRACRANIAL VESSEL SURGERY"
"61684","Surgery of intracranial arteriovenous malformation; infratentorial, simple","INTRACRANIAL ARVEN MALFRMJ INFRATENTRL SMPL","INTRACRANIAL VESSEL SURGERY"
"61686","Surgery of intracranial arteriovenous malformation; infratentorial, complex","INTRACRANIAL ARVEN MALFRMJ INFRATENTRL CMPL","INTRACRANIAL VESSEL SURGERY"
"61690","Surgery of intracranial arteriovenous malformation; dural, simple","INTRACRANIAL ARVEN MALFRMJ DURAL SMPL","INTRACRANIAL VESSEL SURGERY"
"61692","Surgery of intracranial arteriovenous malformation; dural, complex","INTRACRANIAL ARVEN MALFRMJ DURAL CMPL","INTRACRANIAL VESSEL SURGERY"
"61697","Surgery of complex intracranial aneurysm, intracranial approach; carotid circulation","COMPLX INTRACRANIAL ARYSM CAROTID CIRCULATION","BRAIN ANEURYSM REPR COMPLX"
"61698","Surgery of complex intracranial aneurysm, intracranial approach; vertebrobasilar circulation","CPLX INTRACRANIAL ARYSM VERTEBROBASILAR CRCJ","BRAIN ANEURYSM REPR COMPLX"
"61700","Surgery of simple intracranial aneurysm, intracranial approach; carotid circulation","SIMPLE INTRACRANIAL ARYSM CAROTID CIRCULATION","BRAIN ANEURYSM REPR SIMPLE"
"61702","Surgery of simple intracranial aneurysm, intracranial approach; vertebrobasilar circulation","SIMPLE INTRACRANIAL ARYSM VERTEBROBASILAR CRCJ","INNER SKULL VESSEL SURGERY"
"61703","Surgery of intracranial aneurysm, cervical approach by application of occluding clamp to cervical carotid artery (Selverstone-Crutchfield type)","ICRA CRV APPL OCCLUDING CLAMP CRV CRTD ART","CLAMP NECK ARTERY"
"61705","Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intracranial and cervical occlusion of carotid artery","ARYSM VASC MALFRMJ/CRTD-OCCLUSION CRTD ART","REVISE CIRCULATION TO HEAD"
"61708","Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intracranial electrothrombosis","ARYSM VASC MALFRMJ/ICRA ELECTROTHROMBOSIS","REVISE CIRCULATION TO HEAD"
"61710","Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intra-arterial embolization, injection procedure, or balloon catheter","ARYSM VASC MALFRMJ IA EMBOLIZATION","REVISE CIRCULATION TO HEAD"
"61711","Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries","ANAST ARTL EXTRACRANIAL-INTRACRANIAL ARTERIES","FUSION OF SKULL ARTERIES"
"61720","Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; globus pallidus or thalamus","CRTJ LES STRTCTC BURR GLOBUS PALLIDUS/THALAMUS","INCISE SKULL/BRAIN SURGERY"
"61735","Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; subcortical structure(s) other than globus pallidus or thalamus","CRTJ LES STRTCTC BURR SUBCORTICAL STRUX OTH/THN","INCISE SKULL/BRAIN SURGERY"
"61750","Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion;","STEREOTACTIC BX ASPIR/EXC BURR INTRACRANIAL LES","INCISE SKULL/BRAIN BIOPSY"
"61751","Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion; with computed tomography and/or magnetic resonance guidance","STRTCTC BX ASPIR/EXC BURR ICRA LES W/CT&/MR","BRAIN BIOPSY W/CT/MR GUIDE"
"61760","Stereotactic implantation of depth electrodes into the cerebrum for long-term seizure monitoring","STRTCTC IMPLTJ ELTRD CEREBRUM SEIZURE MONITORING","IMPLANT BRAIN ELECTRODES"
"61770","Stereotactic localization, including burr hole(s), with insertion of catheter(s) or probe(s) for placement of radiation source","STRTCTC LOCLZJ INSJ CATH/PRB PLMT RADJ SRC","INCISE SKULL FOR TREATMENT"
"61781","Stereotactic computer-assisted (navigational) procedure; cranial, intradural (List separately in addition to code for primary procedure)","STRTCTC CPTR ASSTD PX CRANIAL INTRADURAL","SCAN PROC CRANIAL INTRA"
"61782","Stereotactic computer-assisted (navigational) procedure; cranial, extradural (List separately in addition to code for primary procedure)","STRTCTC CPTR ASSTD PX EXTRADURAL CRANIAL","SCAN PROC CRANIAL EXTRA"
"61783","Stereotactic computer-assisted (navigational) procedure; spinal (List separately in addition to code for primary procedure)","STEREOTACTIC COMPUTER ASSISTED PX SPINAL","SCAN PROC SPINAL"
"61790","Creation of lesion by stereotactic method, percutaneous, by neurolytic agent (eg, alcohol, thermal, electrical, radiofrequency); gasserian ganglion","CREATE LES STRTCTC PRQ NEUROLYTIC GASSERIAN","TREAT TRIGEMINAL NERVE"
"61791","Creation of lesion by stereotactic method, percutaneous, by neurolytic agent (eg, alcohol, thermal, electrical, radiofrequency); trigeminal medullary tract","CREATE LES STRTCTC PRQ NEUROLYTIC TRIGEMINAL TRC","TREAT TRIGEMINAL TRACT"
"61796","Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 simple cranial lesion","STEREOTACTIC RADIOSURGERY 1 SIMPLE CRANIAL LES","SRS CRANIAL LESION SIMPLE"
"61797","Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); each additional cranial lesion, simple (List separately in addition to code for primary procedure)","STRTCTC RADIOSURGERY EA ADDL CRANIAL LES SIMPLE","SRS CRAN LES SIMPLE ADDL"
"61798","Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 complex cranial lesion","STEREOTACTIC RADIOSURGERY 1 COMPLEX CRANIAL LES","SRS CRANIAL LESION COMPLEX"
"61799","Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); each additional cranial lesion, complex (List separately in addition to code for primary procedure)","STRTCTC RADIOSURGERY EA ADDL CRANIAL LES COMPLEX","SRS CRAN LES COMPLEX ADDL"
"61800","Application of stereotactic headframe for stereotactic radiosurgery (List separately in addition to code for primary procedure)","APPL STRTCTC HEADFRAME STEREOTACTIC RADIOSURGERY","APPLY SRS HEADFRAME ADD-ON"
"61850","Twist drill or burr hole(s) for implantation of neurostimulator electrodes, cortical","TWIST/BURR HOLE IMPLTJ NSTIM ELTRD CORTICAL","IMPLANT NEUROELECTRODES"
"61860","Craniectomy or craniotomy for implantation of neurostimulator electrodes, cerebral, cortical","CRNEC/CRX IMPLTJ NSTIM ELTRD CERE CORTICAL","IMPLANT NEUROELECTRODES"
"61863","Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), without use of intraoperative microelectrode recording; first array","STRTCTC IMPLTJ NSTIM ELTRD W/O RECORD 1ST ARRAY","IMPLANT NEUROELECTRODE"
"61864","Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), without use of intraoperative microelectrode recording; each additional array (List separately in addition to primary procedure)","STRTCTC IMPLTJ NSTIM ELTRD W/O RECORD EA ARRAY","IMPLANT NEUROELECTRDE ADDL"
"61867","Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), with use of intraoperative microelectrode recording; first array","STRTCTC IMPLTJ NSTIM ELTRD W/RECORD 1ST ARRAY","IMPLANT NEUROELECTRODE"
"61868","Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), with use of intraoperative microelectrode recording; each additional array (List separately in addition to primary procedure)","STRTCTC IMPLTJ NSTIM ELTRD W/RECORD EA ARRAY","IMPLANT NEUROELECTRDE ADDL"
"61870","Craniectomy for implantation of neurostimulator electrodes, cerebellar; cortical","CRNEC IMPLTJ NSTIM ELTRD CEREBELLAR CORTICAL","IMPLANT NEUROELECTRODES"
"61875","Craniectomy for implantation of neurostimulator electrodes, cerebellar; subcortical","CRNEC IMPLTJ NSTIM ELTRD CEREBELLAR SUBCORTICAL","IMPLANT NEUROELECTRODES"
"61880","Revision or removal of intracranial neurostimulator electrodes","REVJ/RMVL INTRACRANIAL NEUROSTIMULATOR ELTRDS","REVISE/REMOVE NEUROELECTRODE"
"61885","Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to a single electrode array","INSJ/RPLCMT CRANIAL NEUROSTIM PULSE GENERATOR","INSRT/REDO NEUROSTIM 1 ARRAY"
"61886","Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to 2 or more electrode arrays","INSJ/RPLCMT CRANIAL NEUROSTIM GENER 2/> ELTRDS","IMPLANT NEUROSTIM ARRAYS"
"61888","Revision or removal of cranial neurostimulator pulse generator or receiver","REVJ/RMVL NEUROSTIMULATOR PULSE GENERATOR","REVISE/REMOVE NEURORECEIVER"
"62000","Elevation of depressed skull fracture; simple, extradural","ELEVATION DEPRESSED SKULL FX SIMPLE EXTRADURAL","TREAT SKULL FRACTURE"
"62005","Elevation of depressed skull fracture; compound or comminuted, extradural","ELVTN DEPRS SKL FX COMPOUND/COMMIND XDRL","TREAT SKULL FRACTURE"
"62010","Elevation of depressed skull fracture; with repair of dura and/or debridement of brain","ELVTN DEPRS SKL FX W/RPR DURA&/DBRDMT BRN","TREATMENT OF HEAD INJURY"
"62100","Craniotomy for repair of dural/cerebrospinal fluid leak, including surgery for rhinorrhea/otorrhea","CRX RPR DURAL/CSF LEAK RHINORRHEA/OTORRHEA","REPAIR BRAIN FLUID LEAKAGE"
"62115","Reduction of craniomegalic skull (eg, treated hydrocephalus); not requiring bone grafts or cranioplasty","RDCTJ CRANIOMEGALIC SKULL W/O GRAFT/CRANIOPLASTY","REDUCTION OF SKULL DEFECT"
"62116","Reduction of craniomegalic skull (eg, treated hydrocephalus); with simple cranioplasty","RDCTJ CRANIOMEGALIC SKULL W/SIMPLE CRANIOPLASTY","REDUCTION OF SKULL DEFECT"
"62117","Reduction of craniomegalic skull (eg, treated hydrocephalus); requiring craniotomy and reconstruction with or without bone graft (includes obtaining grafts)","RDCTJ CRANIOMEGALIC CRANIO&RECNSTJ W/WO GRAFT","REDUCTION OF SKULL DEFECT"
"62120","Repair of encephalocele, skull vault, including cranioplasty","RPR ENCEPHALOCELE SKULL VAULT W/CRANIOPLASTY","REPAIR SKULL CAVITY LESION"
"62121","Craniotomy for repair of encephalocele, skull base","CRANIOTOMY FOR ENCEPHALOCELE REPAIR SKULL BASE","INCISE SKULL REPAIR"
"62140","Cranioplasty for skull defect; up to 5 cm diameter","CRANIOPLASTY SKULL DEFECT < 5 CM DIAMETER","REPAIR OF SKULL DEFECT"
"62141","Cranioplasty for skull defect; larger than 5 cm diameter","CRANIOPLASTY SKULL DEFECT >5 CM DIAMETER","REPAIR OF SKULL DEFECT"
"62142","Removal of bone flap or prosthetic plate of skull","RMVL BONE FLAP/PROSTHETIC PLATE SKULL","REMOVE SKULL PLATE/FLAP"
"62143","Replacement of bone flap or prosthetic plate of skull","RPLCMT BONE FLAP/PROSTHETIC PLATE SKULL","REPLACE SKULL PLATE/FLAP"
"62145","Cranioplasty for skull defect with reparative brain surgery","CRANIOPLASTY SKULL DEFECT REPARATIVE BRAIN SURG","REPAIR OF SKULL & BRAIN"
"62146","Cranioplasty with autograft (includes obtaining bone grafts); up to 5 cm diameter","CRANIOPLASTY W/AUTOGRAFT < 5 CM DIAMETER","REPAIR OF SKULL WITH GRAFT"
"62147","Cranioplasty with autograft (includes obtaining bone grafts); larger than 5 cm diameter","CRANIOPLASTY W/AUTOGRAFT > 5 CM DIAMETER","REPAIR OF SKULL WITH GRAFT"
"62148","Incision and retrieval of subcutaneous cranial bone graft for cranioplasty (List separately in addition to code for primary procedure)","INCISE&RETRIEVAL SUBQ CRANIOPLASTY BONE GRAFT","RETR BONE FLAP TO FIX SKULL"
"62160","Neuroendoscopy, intracranial, for placement or replacement of ventricular catheter and attachment to shunt system or external drainage (List separately in addition to code for primary procedure)","NUNDSC ICRA PLMT/RPLCMT VENTR CATH SHUNT SYS","NEUROENDOSCOPY ADD-ON"
"62161","Neuroendoscopy, intracranial; with dissection of adhesions, fenestration of septum pellucidum or intraventricular cysts (including placement, replacement, or removal of ventricular catheter)","NUNDSC ICRA DSJ ADS FENESTRATION SEPTUM CSTS","DISSECT BRAIN W/SCOPE"
"62162","Neuroendoscopy, intracranial; with fenestration or excision of colloid cyst, including placement of external ventricular catheter for drainage","NUNDSC ICRA FENESTEXC CYST W/VENTRIC CATH DRG","REMOVE COLLOID CYST W/SCOPE"
"62163","Neuroendoscopy, intracranial; with retrieval of foreign body","NEUROENDOSCOPY ICRA W/RETRIEVAL FOREIGN BODY","ZNEUROENDOSCOPY W/FB REMOVAL"
"62164","Neuroendoscopy, intracranial; with excision of brain tumor, including placement of external ventricular catheter for drainage","NEUROENDOSCOPY ICRA W/RETRIEVAL FOREIGN BODY","REMOVE BRAIN TUMOR W/SCOPE"
"62165","Neuroendoscopy, intracranial; with excision of pituitary tumor, transnasal or trans-sphenoidal approach","NUNDSC ICRA EXC PITUITRY TUM TRNSNSL/SPHENOID","REMOVE PITUIT TUMOR W/SCOPE"
"62180","Ventriculocisternostomy (Torkildsen type operation)","VENTRICULOCISTERNOSTOMY","ESTABLISH BRAIN CAVITY SHUNT"
"62190","Creation of shunt; subarachnoid/subdural-atrial, -jugular, -auricular","CRTJ SHUNT SARACH/SDRL-ATR-JUG-AUR","ESTABLISH BRAIN CAVITY SHUNT"
"62192","Creation of shunt; subarachnoid/subdural-peritoneal, -pleural, other terminus","CRTJ SHUNT SARACH/SDRL-PRTL-PLEURAL OTH","ESTABLISH BRAIN CAVITY SHUNT"
"62194","Replacement or irrigation, subarachnoid/subdural catheter","RPLCMT/IRRG SUBARACHNOID/SUBDURAL CATHETER","REPLACE/IRRIGATE CATHETER"
"62200","Ventriculocisternostomy, third ventricle;","VENTRICULOCISTERNOSTOMY 3RD VENTRICLE","ESTABLISH BRAIN CAVITY SHUNT"
"62201","Ventriculocisternostomy, third ventricle; stereotactic, neuroendoscopic method","VENTRICULOCISTERNOSTOMY 3RD VNTRC NEURONDSC","BRAIN CAVITY SHUNT W/SCOPE"
"62220","Creation of shunt; ventriculo-atrial, -jugular, -auricular","CRTJ SHUNT VENTRICULO-ATR-JUG-AUR","ESTABLISH BRAIN CAVITY SHUNT"
"62223","Creation of shunt; ventriculo-peritoneal, -pleural, other terminus","CRTJ SHUNT VENTRICULO-PERITNEAL-PLEURAL TERMINUS","ESTABLISH BRAIN CAVITY SHUNT"
"62225","Replacement or irrigation, ventricular catheter","RPLCMT/IRRIGATION VENTRICULAR CATHETER","REPLACE/IRRIGATE CATHETER"
"62230","Replacement or revision of cerebrospinal fluid shunt, obstructed valve, or distal catheter in shunt system","RPLCMT/REVJ CSF SHUNT VALVE/CATH SHUNT SYS","REPLACE/REVISE BRAIN SHUNT"
